name,lat,lng
江戸川区立第四葛西小学校,35.658804,139.871097
Tokyo Korean Primary School II (東京朝鮮第二初級学校),35.656699,139.804502
Minamikasai Elementary School (南葛西小学校),35.64665,139.874473
江東区立有明小学校,35.640259,139.796104
江戸川区立西一之江小学校,35.690033,139.873578
浦安市立見明川小学校,35.639022,139.894583
江東区立八名川小学校,35.686829,139.795291
江戸川区立一之江小学校,35.689817,139.880987
浦安市立東野小学校,35.651029,139.901365
江戸川区立瑞江小学校,35.685461,139.887028
月島第二小学校,35.660231,139.77599
市川市立福栄小学校,35.671742,139.907306
浦安市立入船南小学校,35.645602,139.912687
浦安市立美浜北小学校,35.655154,139.914943
春江小学校,35.699029,139.8938
高洲小学校体育館,35.636248,139.917212
渋江小学校,35.730667,139.84247
港区立東町小学校,35.650918,139.735776
市川市立妙典小学校,35.695936,139.929971
Hongo Elementary School (文京区立本郷小学校),35.707978,139.757983
Honmura Elementary School (本村小学校),35.649764,139.729945
品川区立品川学園中学校,35.617513,139.738439
浅間台小学校,35.611503,139.736492
品川区立日野学園,35.62402,139.728609
文京区立汐見小学校,35.723563,139.760814
市川市立平田小学校,35.724115,139.918017
荒川区立第二峡田小学校,35.738581,139.782437
東京女学館小学校,35.655716,139.717299
港区立青南小学校,35.662974,139.716227
葛飾区立上千葉小学校,35.754049,139.838171
柴又小学校,35.752893,139.877032
Tokiwamatsu Elementary School (渋谷区立常磐松小学校),35.655639,139.710411
私立青山学院初等部,35.65819,139.709961
亀青小学校,35.758809,139.852904
昭和小学校,35.731711,139.749615
北区立滝野川第七小学校,35.738517,139.753931
渋谷区立鳩森小学校,35.682352,139.705858
Enzan Elementary School (延山小学校),35.608908,139.70805
Daini Enzan Elementary School (第二延山小学校),35.609978,139.70356
目黒区立菅刈小学校,35.651821,139.692178
目黒区立月光原小学校,35.623172,139.694895
Takinogawa Daigo Elementary School (滝野川第五小学校),35.749378,139.749528
大田区立小学校 - 東糀谷,35.558646,139.744112
葛飾区立飯塚小学校,35.777093,139.858083
船橋市立海神小学校,35.70325,139.979468
目黒区立碑小学校,35.619417,139.691253
目黒区立原町小学校,35.615814,139.690438
新宿区立柏木小学校,35.700548,139.689323
トキワ松学園小学校,35.62071,139.68236
Ookayama Elementary School (大岡山小学校),35.615638,139.68314
