name,lat,lng
マハー KARAOKE,35.733583,139.72783
Karaoke Rainbow (カラオケレインボー),35.661554,139.700541
1Kara (ワンカラ 新宿大ガード店),35.694082,139.699301
Karaoke & Bar Ribbon 2号店,35.694005,139.704074
カラオケ館秋葉原店,35.699271,139.77512
Pasela Resorts (パセラリゾーツ 秋葉原電気街店),35.698971,139.771662
PLEASURE,35.655243,139.698059
KARAOKE BOSSANOVA,35.655867,139.65434
Pasela Resorts Grande 渋谷,35.661195,139.700246
歌広場新宿5号店,35.693477,139.703796
カラオケ ベスト10 武蔵小山店,35.617547,139.706719
アメリカンスタジアム,35.623001,139.609324
円盤,35.661491,139.723844
JOYSOUND 品川港南口店,35.62848,139.743011
ジョイサウンド JOYSOUND 池袋西口公園前店,35.729667,139.708705
歌広場新宿三丁目店,35.692156,139.706017
カラオケ館浅草雷門店,35.711171,139.795798
1Kara (ワンカラ 神田駅前店),35.691537,139.771514
カラオケ パセラ 六本木店,35.661861,139.735388
カラオケ館,35.672655,139.763797
KARATEZ (カラオケの鉄人 池袋東口店),35.730797,139.715635
FIORIA ariablu,35.66274,139.732748
Pasela Resorts (パセラリゾーツ 上野公園前店),35.710663,139.772945
KARATEZ (カラオケの鉄人),35.669776,139.765062
KARATEZ (カラオケの鉄人 恵比寿駅前店),35.647672,139.710442
カラオケ館上野店,35.708589,139.773464
Utahiroba (カラオケルーム歌広場 上野店),35.708837,139.773533
カラオケ館,35.697715,139.772216
MARAKO (マラコー),35.69689,139.702357
Pasela Resorts (カラオケパセラ AKIBAマルチエンターテインメント店),35.697811,139.770427
カラオケの鉄人川崎銀柳街店,35.530016,139.699915
歌広場綾瀬店,35.761406,139.82505
カラオケ館渋谷文化村通り店,35.660254,139.697262
カラオケ館下北沢店,35.66072,139.667673
Round1 (ラウンドワン 草加店),35.812552,139.787917
Big Echo (ビッグエコー 銀座数寄屋橋店),35.672593,139.76378
パセラ 池袋西口店,35.733046,139.708952
ジョイサウンド京橋,35.675664,139.767951
カラオケスナック好美,35.669383,139.8195
カラオケ館,35.529996,139.699586
ビッグエコー 横浜西口駅前本店,35.467629,139.62143
Pasela Resorts 新宿本店,35.694339,139.703779
カラオケ JOYSOUND 中野店,35.707937,139.665288
歌広場渋谷宮益坂店,35.659701,139.704167
Karaoke Pasela Shibuya (カラオケパセラ 渋谷店),35.661294,139.700951
カラオケ館,35.729751,139.713915
歌広場両国店,35.695529,139.793463
カラオケ館,35.680395,139.77084
カラオケ館,35.662653,139.733112
銀座バッスル,35.669311,139.761883
