name,lat,lng
Starbucks,35.628851,139.656619
Starbucks (スターバックス),35.641843,139.803035
Starbucks (スターバックス),35.682924,139.825661
Starbucks (スターバックス),35.666117,139.80424
Starbucks,35.630064,139.793814
Starbucks (スターバックス),35.656502,139.782201
Starbucks,35.697643,139.826055
Starbucks (スターバックス),35.62791,139.7735
Starbucks (スターバックス),35.709936,139.810832
Starbucks,35.679391,139.780739
Starbucks (スターバックス),35.655896,139.796233
Starbucks (スターバックス),35.696362,139.815762
Starbucks,35.655073,139.792758
Starbucks,35.686911,139.781496
Starbucks (スターバックス),35.679778,139.76483
Starbucks (スターバックス),35.668161,139.767265
Starbucks (スターバックス),35.667956,139.772006
Starbucks (スターバックス),35.697082,139.814407
Starbucks (スターバックス),35.710923,139.794755
Starbucks,35.687745,139.764544
Starbucks (スターバックス),35.681282,139.774332
Starbucks (スターバックス),35.62548,139.775927
Starbucks,35.64969,139.912613
Starbucks (スターバックス),35.687187,139.775347
Starbucks (スターバックス),35.683845,139.768569
Starbucks (スターバックス),35.694196,139.762988
Starbucks (スターバックス),35.711913,139.797955
Starbucks (スターバックス),35.690918,139.757461
Starbucks (スターバックス),35.67985,139.770492
Starbucks (スターバックス),35.699015,139.743853
Starbucks (スターバックス),35.695037,139.81383
Starbucks (スターバックス),35.672928,139.736713
Starbucks (スターバックス),35.679944,139.76358
Starbucks (スターバックス),35.667404,139.777232
Starbucks (スターバックス),35.732997,139.881661
Starbucks (スターバックス),35.677447,139.769621
Starbucks (スターバックス),35.697781,139.773467
Starbucks,35.658735,139.731946
Starbucks,35.655716,139.736023
Starbucks (スターバックス),35.617472,139.728778
Starbucks,35.63431321575228,139.7143553515161
Starbucks (スターバックス),35.693384,139.771256
Starbucks (スターバックス),35.672268,139.761678
Starbucks (スターバックス),35.662111,139.748838
Starbucks,35.670413,139.754349
Starbucks,35.698516,139.773155
Starbucks (スターバックス),35.679118,139.763023
Starbucks (スターバックス),35.6825,139.764364
Starbucks (スターバックス),35.688658,139.762791
Starbucks,35.674998,139.761734
