name,lat,lng
Veg Kitchen (ベジキッチン),35.705573,139.777804
Olu'olu Cafe,35.644288,139.679708
Vege Herb Saga (ヴェジハーブサーガ),35.70609,139.775354
meu nota,35.70332,139.647871
Soranoiro (ソラノイロ),35.683036,139.73936
Alaska zwei,35.648953,139.69105
Milan Nataraj (ミラン・ナタラジ),35.6611,139.701062
Kuumba du Falafel,35.657162,139.690826
Mr. FARMER,35.628129,139.656741
KOMEDA is □,35.667978,139.769418
BERG,35.691338,139.701123
kokonn (Kokonn),35.723471,139.768703
FIRE HOUSE,35.707565,139.758191
No.4,35.688226,139.736152
Tokyo Shiba Tofuya Ukai (東京芝 とうふ屋うかい),35.657583,139.745101
TA-IM,35.647906,139.717503
Itasoba Kaoriya (板蕎麦 香り家),35.645706,139.711898
Kyushu Jangara (九州じゃんがら),35.700805,139.770622
Ohitsuzen Tanbo (おひつ膳 田んぼ),35.68238,139.699905
ukafe,35.666089,139.73006
AFURI,35.648357,139.710893
Ant 'n Bee (アントンビー),35.662744,139.733008
CHABARA (ちゃばら),35.699797,139.773192
Garam Masala (ガラムマサラ),35.650759,139.635829
Shaghun (シャグン),35.6009,139.61402
Daigo (精進料理 醍醐),35.663531,139.748978
THE ALDGATE,35.660758,139.697922
AFURI,35.672993,139.703685
BUZZ’s GRILL,35.66428,139.864661
Pain de LASA (パン・ド・ラサ),35.656197,139.654756
CoCo Ichibanya (CoCo壱番屋),35.68989,139.709852
Tokyo Dosanjin (東京 土山人),35.650129,139.69138
CITRON (CITRON - Bar a Salades Parisien),35.668881,139.716525
Boulangerie K YOKOYAMA,35.845501,139.682075
Salada Deli MARGO,35.689244,139.68311
Kyushu Jangara (九州じゃんがら),35.6696,139.703511
Afuri,35.64442,139.699687
Yasaiya Mei (やさい家めい),35.465265,139.622901
Sushizanmai (廻るすしざんまい 築地店),35.665731,139.770666
Yusui (手打ちそば 湧水),35.667624,139.546902
AFURI,35.65586,139.735415
HealthyTOKYO Cafe & Shop,35.550467,139.788627
OCHAWAN,35.549012,139.783943
Farmer's Bar Spice (ファーマーズバースパイス),35.698552,139.983594
健康レストラン かろり500,35.560859,139.720075
Yasaiya Mei (やさい家めい),35.532702,139.69614
Bon (普茶料理 梵),35.7229,139.79041
ethica by TERRA (エシカ バイ テラ),35.609255,140.109605
Island Vintage Coffee,35.466187,139.626773
木曽路千葉店,35.601655,140.113481
